u_score,v_score
55, 81
158, 211
46, 76
157, 202
42, 74
41, 66
39, 69
42, 81
44, 85
37, 79
45, 82
45, 82
38, 59
42, 78
42, 81
40, 75
45, 77
34, 73
46, 63
44, 61
34, 65
83, 92
81, 91
81, 91
429, 302
79, 89
208, 242
78, 83
83, 86
52, 56
82, 89
78, 87
44, 57
44, 40
27, 37
38, 39
38, 39
51, 80
45, 63
46, 49
37, 41
39, 39
41, 42
36, 43
37, 46
40, 40
40, 44
51, 43
44, 43
47, 44
47, 44
47, 42
52, 42
53, 43
46, 39
47, 35
300, 300
300, 300
300, 300
48, 45
48, 45
50, 48
29, 47
97, 106
98, 108
111, 105
127, 151
109, 95
93, 105
90, 100
90, 100
90, 98
96, 90
96, 109
90, 98
90, 98
95, 102
91, 91
89, 101
90, 99
88, 95
86, 94
90, 86
90, 86
93, 101
86, 88
300, 300
52, 67
26, 48
56, 37
53, 54
39, 54
38, 44
34, 45
48, 40
49, 48
49, 48
51, 50
101, 104
100, 94
114, 93
300, 300
300, 300
57, 61
57, 61
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
103, 114
107, 114
109, 117
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
104, 115
104, 108
104, 108
108, 118
109, 114
108, 113
108, 113
300, 300
102, 115
103, 118
99, 114
300, 300
110, 105
102, 101
110, 104
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
77, 78
300, 300
76, 69
300, 300
119, 122
115, 120
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
122, 120
122, 120
58, 59
116, 110
300, 300
300, 300
300, 300
300, 300
300, 300
115, 117
300, 300
121, 115
119, 112
300, 300
300, 300
300, 300
300, 300
300, 300
77, 65
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
300, 300
79, 62
81, 66
81, 66
66, 63
124, 108
124, 108
123, 108
80, 65
71, 75
74, 75
74, 76
84, 104
84, 104
77, 108
80, 110
